FastApi

---------- coverage: platform linux, python 3.8.10-final-0 -----------
Name                                                                                      Stmts   Miss  Cover
docs_src/dependencies/tutorial001.py                                                         11      0   100%
docs_src/dependencies/tutorial001_an.py                                                      12      0   100%
docs_src/dependencies/tutorial004.py                                                         17      0   100%
docs_src/dependencies/tutorial004_an.py                                                      18      0   100%
docs_src/dependencies/tutorial006.py                                                         12      0   100%
docs_src/dependencies/tutorial006_an.py                                                      13      0   100%
docs_src/dependencies/tutorial008b.py                                                        18      0   100%
docs_src/dependencies/tutorial008b_an.py                                                     19      0   100%
docs_src/dependencies/tutorial008c.py                                                        16      0   100%
docs_src/dependencies/tutorial008c_an.py                                                     17      0   100%
docs_src/dependencies/tutorial008d.py                                                        17      0   100%
docs_src/dependencies/tutorial008d_an.py                                                     18      0   100%
docs_src/dependencies/tutorial012.py                                                         15      0   100%
docs_src/dependencies/tutorial012_an.py                                                      16      0   100%
docs_src/dependency_testing/tutorial001.py                                                   28      0   100%
docs_src/dependency_testing/tutorial001_an.py                                                29      0   100%
docs_src/events/tutorial001.py                                                               10      0   100%
docs_src/events/tutorial002.py                                                                9      0   100%
docs_src/events/tutorial003.py                                                               15      0   100%
docs_src/extending_openapi/tutorial001.py                                                    14      0   100%
docs_src/extra_data_types/tutorial001.py                                                     10      0   100%
docs_src/extra_data_types/tutorial001_an.py                                                  11      0   100%
docs_src/extra_models/tutorial003.py                                                         16      0   100%
docs_src/extra_models/tutorial004.py                                                         11      0   100%
docs_src/extra_models/tutorial005.py                                                          6      0   100%
docs_src/first_steps/tutorial001.py                                                           5      0   100%
docs_src/generate_clients/tutorial003.py                                                     24      0   100%
docs_src/handling_errors/tutorial001.py                                                       8      0   100%
docs_src/handling_errors/tutorial002.py                                                       8      0   100%
docs_src/handling_errors/tutorial003.py                                                      14      0   100%
docs_src/handling_errors/tutorial004.py                                                      16      0   100%
docs_src/handling_errors/tutorial005.py                                                      15      0   100%
docs_src/handling_errors/tutorial006.py                                                      18      0   100%
docs_src/header_params/tutorial001.py                                                         6      0   100%
docs_src/header_params/tutorial001_an.py                                                      7      0   100%
docs_src/header_params/tutorial002.py                                                         6      0   100%
docs_src/header_params/tutorial002_an.py                                                      7      0   100%
docs_src/header_params/tutorial003.py                                                         6      0   100%
docs_src/header_params/tutorial003_an.py                                                      7      0   100%
docs_src/metadata/tutorial001.py                                                              6      0   100%
docs_src/metadata/tutorial001_1.py                                                            6      0   100%
docs_src/metadata/tutorial004.py                                                              9      0   100%
docs_src/openapi_callbacks/tutorial001.py                                                    21      0   100%
docs_src/openapi_webhooks/tutorial001.py                                                     13      0   100%
docs_src/path_operation_advanced_configuration/tutorial001.py                                 5      0   100%
docs_src/path_operation_advanced_configuration/tutorial002.py                                11      0   100%
docs_src/path_operation_advanced_configuration/tutorial003.py                                 5      0   100%
docs_src/path_operation_advanced_configuration/tutorial004.py                                13      0   100%
docs_src/path_operation_advanced_configuration/tutorial005.py                                 5      0   100%
docs_src/path_operation_advanced_configuration/tutorial006.py                                 9      0   100%
docs_src/path_operation_advanced_configuration/tutorial007.py                                20      0   100%
docs_src/path_operation_configuration/tutorial002b.py                                        12      0   100%
docs_src/path_operation_configuration/tutorial005.py                                         13      0   100%
docs_src/path_operation_configuration/tutorial006.py                                         11      0   100%
docs_src/path_params/tutorial004.py                                                           5      0   100%
docs_src/path_params/tutorial005.py                                                          14      0   100%
docs_src/query_params/tutorial005.py                                                          6      0   100%
docs_src/query_params/tutorial006.py                                                          7      0   100%
docs_src/query_params_str_validations/tutorial010.py                                          9      0   100%
docs_src/query_params_str_validations/tutorial010_an.py                                      10      0   100%
docs_src/query_params_str_validations/tutorial011.py                                          7      0   100%
docs_src/query_params_str_validations/tutorial011_an.py                                       8      0   100%
docs_src/query_params_str_validations/tutorial012.py                                          7      0   100%
docs_src/query_params_str_validations/tutorial012_an.py                                       8      0   100%
docs_src/query_params_str_validations/tutorial013.py                                          6      0   100%
docs_src/query_params_str_validations/tutorial013_an.py                                       7      0   100%
